timestamp,modo,evento,precio,detalle
2026-07-17 07:07:00,DRY,ABRE BUY,3992.7,sl 3986.7 tp 4001.7 racha_div 2
2026-07-17 07:32:00,DRY,CIERRE TIME(25m),3988.9,BUY entry 3992.7 pnl -38
2026-07-17 08:05:00,DRY,ABRE SELL,3978.2,sl 3984.2 tp 3969.2 racha_div 2
2026-07-17 08:30:00,DRY,CIERRE TIME(25m),3971.9,SELL entry 3978.2 pnl +63
2026-07-17 08:47:00,DRY,ABRE BUY,3986.0,sl 3980.0 tp 3995.0 racha_div 2
2026-07-17 08:51:00,DRY,CIERRE TP,3995.7,BUY entry 3986.0 pnl +90
2026-07-17 09:02:00,DRY,ABRE SELL,3995.6,sl 4001.6 tp 3986.6 racha_div 2
2026-07-17 09:06:00,DRY,CIERRE SL,4001.8,SELL entry 3995.6 pnl -60
2026-07-17 09:57:00,DRY,ABRE BUY,4001.4,sl 3995.4 tp 4010.4 racha_div 2
2026-07-17 10:05:00,DRY,CIERRE TP,4017.1,BUY entry 4001.4 pnl +90
2026-07-17 10:15:00,DRY,ABRE BUY,4010.4,sl 4004.4 tp 4019.4 racha_div 2
2026-07-17 10:31:00,DRY,CIERRE TP,4019.9,BUY entry 4010.4 pnl +90
2026-07-17 11:42:00,DRY,ABRE BUY,4019.3,sl 4013.3 tp 4028.3 racha_div 2
2026-07-17 12:07:00,DRY,CIERRE TIME(25m),4023.2,BUY entry 4019.3 pnl +39
2026-07-17 12:43:00,DRY,ABRE BUY,4015.5,sl 4009.5 tp 4024.5 racha_div 2
2026-07-17 13:08:01,DRY,CIERRE TIME(25m),4017.3,BUY entry 4015.5 pnl +18
2026-07-17 14:01:01,DRY,ABRE SELL,4014.0,sl 4020.0 tp 4005.0 racha_div 2
2026-07-17 14:26:01,DRY,CIERRE TIME(25m),4008.4,SELL entry 4014.0 pnl +56
2026-07-17 15:14:00,DRY,ABRE BUY,4017.2,sl 4011.2 tp 4026.2 racha_div 2
2026-07-17 15:39:00,DRY,CIERRE TIME(25m),4015.5,BUY entry 4017.2 pnl -17
2026-07-17 15:58:01,DRY,ABRE BUY,4022.0,sl 4016.0 tp 4031.0 racha_div 2
2026-07-17 16:23:01,DRY,CIERRE TIME(25m),4023.1,BUY entry 4022.0 pnl +11
2026-07-20 07:55:02,DRY,ABRE BUY,4013.7,sl 4007.7 tp 4022.7 racha_div 2
2026-07-20 08:20:02,DRY,CIERRE TIME(25m),4014.3,BUY entry 4013.7 pnl +6
2026-07-20 09:28:02,DRY,ABRE SELL,4008.8,sl 4014.8 tp 3999.8 racha_div 2
2026-07-20 09:47:02,DRY,CIERRE SL,4017.0,SELL entry 4008.8 pnl -60
2026-07-20 11:09:02,LIVE,ABRE SELL,4021.4,sl 4027.4 tp 4012.4 racha_div 2
2026-07-20 11:34:02,LIVE,CIERRE TIME(25m),4014.7,SELL entry 4021.4 pnl +67
2026-07-20 11:59:02,LIVE,ABRE SELL,4013.3,sl 4019.3 tp 4004.3 racha_div 2
2026-07-20 12:24:03,LIVE,CIERRE TIME(25m),4014.6,SELL entry 4013.3 pnl -13
2026-07-20 13:14:02,LIVE,ABRE SELL,4013.4,sl 4019.4 tp 4004.4 racha_div 2
2026-07-20 13:39:02,LIVE,CIERRE TIME(25m),4010.7,SELL entry 4013.4 pnl +27
2026-07-20 13:44:02,LIVE,ABRE SELL,4011.2,sl 4017.2 tp 4002.2 racha_div 2
2026-07-20 14:09:02,LIVE,CIERRE TIME(25m),4010.6,SELL entry 4011.2 pnl +6
2026-07-20 14:15:02,LIVE,ABRE BUY,4009.1,sl 4003.1 tp 4018.1 racha_div 2
2026-07-20 14:30:03,LIVE,MISSED,4017.9,"limite sin fill 3min — posible orden huerfana, revisar Quantower"
2026-07-20 15:04:02,LIVE,ABRE SELL,4012.1,sl 4018.1 tp 4003.1 racha_div 2
2026-07-20 15:29:02,LIVE,CIERRE TIME(25m),4012.8,SELL entry 4012.1 pnl -7
2026-07-20 15:37:02,LIVE,ABRE SELL,4012.6,sl 4018.6 tp 4003.6 racha_div 2
2026-07-20 15:45:02,LIVE,MISSED,4012.6,"limite sin fill 3min — posible orden huerfana, revisar Quantower"
2026-07-20 15:46:02,LIVE,ABRE BUY,4012.7,sl 4006.7 tp 4021.7 racha_div 2
2026-07-20 15:49:02,LIVE,MISSED,4012.1,"limite sin fill 3min — posible orden huerfana, revisar Quantower"
